Selected Kural Fields
---------------------

Adhigaram | Kural | Vilakam | Kalaingar_Urai
கடவுள் வாழ்த்து | பிறவிப் பெருங்கடல் நீந்துவர் நீந்தார் இறைவன் அடிசேரா தார். | வாழ்க்கை எனும் பெருங்கடலை நீந்திக் கடக்க முனைவோர், தலையானவனாக இருப்பவனின் அடி தொடர்ந்து செல்லாவிடில் நீந்த முடியாமல் தவிக்க நேரிடும் | வாழ்க்கை   எனும்   பெருங்கடலை   நீந்திக்   கடக்க  முனைவோர், தலையானவனாக   இருப்பவனின்   அடி  தொடர்ந்து செல்லாவிடில் நீந்த முடியாமல் தவிக்க நேரிடும்.
வான்சிறப்பு | வான்நின்று உலகம் வழங்கி வருதலால் தான்அமிழ்தம் என்றுணரற் பாற்று. | உலகத்தை வாழ வைப்பது மழையாக அமைந்திருப்பதால் அதுவே அமிழ்தம் எனப்படுகிறது | உலகத்தை  வாழ   வைப்பது  மழையாக  அமைந்திருப்பதால் அதுவே அமிழ்தம் எனப்படுகிறது
வான்சிறப்பு | துப்பார்க்குத் துப்பாய துப்பாக்கித் துப்பார்க்குத் துப்பாய தூஉம் மழை. | யாருக்கு உணவுப் பொருள்களை விளைவித்துத்தர மழை பயன்படுகிறதோ, அவர்களுக்கே அந்த மழை அவர்கள் அருந்தும் உணவாகவும் ஆகி அரிய தியாகத்தைச் செய்கிறது | யாருக்கு   உணவுப்      பொருள்களை    விளைவித்துத்தர   மழை பயன்படுகிறதோ,   அவர்களுக்கே   அந்த  மழை   அவர்கள் அருந்தும் உணவாகவும் ஆகி அரிய தியாகத்தைச் செய்கிறது.
வான்சிறப்பு | விண்இன்று பொய்ப்பின் விரிநீர் வியனுலகத்து உள்நின்று உடற்றும் பசி. | கடல்நீர் சூழ்ந்த உலகமாயினும், மழைநீர் பொய்த்து விட்டால் பசியின் கொடுமை வாட்டி வதைக்கும் | கடல்நீர் சூழ்ந்த உலகமாயினும், மழைநீர்   பொய்த்துவிட்டால் பசியின் கொடுமை வாட்டி வதைக்கும்.
வான்சிறப்பு | ஏரின் உழாஅர் உழவர் புயல்என்னும் வாரி வளங்குன்றிக் கால். | மழை என்னும் வருவாய் வளம் குன்றிவிட்டால், உழவுத் தொழில் குன்றி விடும் | மழை  என்னும்  வருவாய்  வளம்  குன்றிவிட்டால், உழவுத்  தொழில் குன்றிவிடும்.
வான்சிறப்பு | கெடுப்பதூஉம் கெட்டார்க்குச் சார்வாய்மற் றாங்கே எடுப்பதூஉம் எல்லாம் மழை. | பெய்யாமல் விடுத்து உயிர்களின் வாழ்வைக் கெடுக்கக் கூடியதும், பெய்வதன் காரணமாக உயிர்களின் நலிந்த வாழ்வுக்கு வளம் சேர்ப்பதும் மழையே ஆகும் | பெய்யாமல்   விடுத்து   உயிர்களின்  வாழ்வைக்  கெடுக்கக் கூடியதும்,பெய்வதன் காரணமாக உயிர்களின் நலிந்த வாழ்வுக்கு  வளம்  சேர்ப்பதும் மழையே ஆகும்.
வான்சிறப்பு | விசும்பின் துளிவீழின் அல்லால்மற் றாங்கே பசும்புல் தலைகாண்பு அரிது. | விண்ணிலிருந்து மழைத்துளி விழுந்தாலன்றி மண்ணில் பசும்புல் தலை காண்பது அரிதான ஒன்றாகும் | விண்ணிலிருந்து  மழைத்துளி விழுந்தாலன்றி மண்ணில் பசும்புல் தலை காண்பது அரிதான ஒன்றாகும்.
வான்சிறப்பு | நெடுங்கடலும் தன்நீர்மை குன்றும் தடிந்தெழிலி தான்நல்கா தாகி விடின். | ஆவியான கடல்நீர் மேகமாகி அந்தக் கடலில் மழையாகப் பெய்தால்தான் கடல்கூட வற்றாமல் இருக்கும் மனித சமுதாயத்திலிருந்து புகழுடன் உயர்ந்தவர்களும் அந்தச் சமுதாயத்திற்கே பயன்பட்டால்தான் அந்தச் சமுதாயம் வாழும் | ஆவியான   கடல்நீர்  மேகமாகி    அந்தக்    கடலில்   மழையாகப் பெய்தால்தான் கடல்கூட வற்றாமல் இருக்கும்.  மனித   சமுதாயத்திலிருந்து புகழுடன்  உயர்ந்தவர்களும் அந்தச்  சமுதாயத்திற்கே  பயன்பட்டால்தான் அந்தச் சமுதாயம் வாழும்
வான்சிறப்பு | சிறப்பொடு பூசனை செல்லாது வானம் வறக்குமேல் வானோர்க்கும் ஈண்டு. | வானமே பொய்த்து விடும்போது, அதன்பின்னர் அந்த வானத்தில் வாழ்வதாகச் சொல்லப்படுகிறவர்களுக்கு விழாக்கள் ஏது? வழிபாடுதான் ஏது? | வானமே   பொய்த்து  விடும்போது, அதன் பின்னர்  அந்த வானத்தில் வாழ்வதாகச் சொல்லப்படுகிறவர்களுக்கு   விழாக்கள்   ஏது? வழிபாடுதான் ஏது?
வான்சிறப்பு | தானம் தவம்இரண்டும் தங்கா வியன்உலகம் வானம் வழங்கா தெனின். | இப்பேருலகில் மழை பொய்த்து விடுமானால் அது, பிறர் பொருட்டுச் செய்யும் தானத்திற்கும், தன்பொருட்டு மேற்கொள்ளும் நோன்புக்கும் தடங்கலாகும் | இப்பேருலகில்  மழை   பொய்த்துவிடுமானால்  அது, பிறர் பொருட்டுச் செய்யும்   தானத்திற்கும்,  தன்பொருட்டு   மேற்கொள்ளும்  நோன்புக்கும் தடங்கலாகும்.
வான்சிறப்பு | நீர்இன்று அமையாது உலகெனின் யார்யார்க்கும் வான்இன்று அமையாது ஒழுக்கு. | உலகில் மழையே இல்லையென்றால் ஒழுக்கமே கெடக்கூடும் என்ற நிலை இருப்பதால், நீரின் இன்றியமையாமையை உணர்ந்து செயல்பட வேண்டும் | உலகில்  மழையே  இல்லையென்றால்  ஒழுக்கமே  கெடக்கூடும் என்ற நிலை  இருப்பதால்,   நீரின்   இன்றியமையாமையை உணர்ந்து செயல்பட வேண்டும்.
நீத்தார் பெருமை  | ஒழுக்கத்து நீத்தார் பெருமை விழுப்பத்து வேண்டும் பனுவல் துணிவு. | ஒழுக்கத்தில் உறுதியான துறவிகளின் பெருமை, சான்றோர் நூலில் விருப்பமுடனும், உயர்வாகவும் இடம் பெறும் | ஒழுக்கத்தில்  உறுதியான   துறவிகளின்  பெருமை, சான்றோர்  நூலில் விருப்பமுடனும். உயர்வாகவும் இடம் பெறும்.
நீத்தார் பெருமை  | துறந்தார் பெருமை துணைக்கூறின் வையத்து இறந்தாரை எண்ணிக்கொண் டற்று. | உலகில் இறந்தவர்களின் எண்ணிக்கை எவ்வளவு என்று கூற முடியுமா? அதுபோலத்தான் உண்மையாகவே பற்றுகளைத் துறந்த உத்தமர்களின் பெருமையையும் அளவிடவே முடியாது | உலகில்  இறந்தவர்களின் எண்ணிக்கை எவ்வளவு என்று கூற முடியுமா? அதுபோலத்தான்  உண்மையாகவே   பற்றுகளைத்  துறந்த  உத்தமர்களின் பெருமையையும் அளவிடவே முடியாது.
நீத்தார் பெருமை  | இருமை வகைதெரிந்து ஈண்டுஅறம் பூண்டார் பெருமை பிறங்கிற்று உலகு. | நன்மை எது, தீமை எது என்பதை ஆய்ந்தறிந்து நன்மைகளை மேற்கொள்பவர்களே உலகில் பெருமைக்குரியவர்களாவார்கள் | நன்மை எது,   தீமை   எது   என்பதை   ஆய்ந்தறிந்து நன்மைகளை மேற்கொள்பவர்களே உலகில் பெருமைக் குரியவர்களாவார்கள்.
நீத்தார் பெருமை  | உரனென்னும் தோட்டியான் ஓரைந்தும் காப்பான் வரனென்னும் வைப்பிற்கோர் வித்தது. | உறுதியென்ற அங்குசம் கொண்டு, ஐம்பொறிகளையும் அடக்கிக் காப்பவன், துறவறம் எனும் நிலத்திற்கு ஏற்ற விதையாவான் | உறுதியென்ற  அங்குசம்   கொண்டு,   ஐம்பொறிகளையும்   அடக்கிக்காப்பவன், துறவறம் எனும் நிலத்திற்கு ஏற்ற விதையாவான்.
நீத்தார் பெருமை  | ஐந்தவித்தான் ஆற்றல் அகல்விசும்பு ளார்கோமான் இந்திரனே சாலுங் கரி. | புலன்களை அடக்க முடியாமல் வழிதவறிச் சென்றிடும் மனிதனுக்குச் சான்றாக இந்திரன் விளங்கி, ஐம்புலன்களால் ஏற்படும் ஆசைகளைக் கட்டுப்படுத்தியதால் வான்புகழ் கொண்டவர்களின் ஆற்றலை எடுத்துக் காட்டுகிறான் | புலன்களை   அடக்க  முடியாமல் வழிதவறிச் சென்றிடும் மனிதனுக்குச் சான்றாக   இந்திரன்   விளங்கி, ஐம்புலன்களால்  ஏற்படும்  ஆசைகளைக் கட்டுப்படுத்தியதால் வான்புகழ்  கொண்டவர்களின்  ஆற்றலை   எடுத்துக் காட்டுகிறான்.
நீத்தார் பெருமை  | செயற்கரிய செய்வார் பெரியர் சிறியர் செயற்கரிய செய்கலா தார். | பெருமை தரும் செயல்களைப் புரிவோரைப் பெரியோர் என்றும், சிறுமையான செயல்களையன்றிப் பெருமைக்குரிய செயல்களைச் செய்யாதவர்களைச் சிறியோர் என்றும் வரையறுத்துவிட முடியும் | பெருமை   தரும்   செயல்களைப்  புரிவோரைப்  பெரியோர் என்றும்,சிறுமையான   செயல்களையன்றிப்      பெருமைக்குரிய    செயல்களைச் செய்யாதவர்களைச் சிறியோர் என்றும் வரையறுத்துவிட முடியும்.
நீத்தார் பெருமை  | சுவைஒளி ஊறுஓசை நாற்றமென ஐந்தின் வகைதெரிவான் கட்டே உலகு. | ஐம்புலன்களின் இயல்பை உணர்ந்து அவற்றை அடக்கியாளும் திறன் கொண்டவனையே உலகம் போற்றும் | ஐம்புலன்களின்   இயல்பை  உணர்ந்து அவற்றை அடக்கியாளும் திறன் கொண்டவனையே உலகம் போற்றும்.
நீத்தார் பெருமை  | நிறைமொழி மாந்தர் பெருமை நிலத்து மறைமொழி காட்டி விடும். | சான்றோர்களின் பெருமையை, இந்த உலகில் அழியாமல் நிலைத்து நிற்கும் அவர்களது அறவழி நூல்களே எடுத்துக் காட்டும் | சான்றோர்களின்   பெருமையை, இந்த உலகில்  அழியாமல்  நிலைத்து நிற்கும் அவர்களது அறவழி நூல்களே எடுத்துக் காட்டும்.
நீத்தார் பெருமை  | குணமென்னும் குன்றேறி நின்றார் வெகுளி கணமேயும் காத்தல் அரிது. | குணக்குன்றுகளான பெரியவர்கள் கோபம் கொண்டால் அந்தக் கோபம் அவர்கள் உள்ளத்தில் ஒரு கணம் கூட நிலைத்து நிற்காது | குணக்குன்றுகளான பெரியவர்கள் கோபம் கொண்டால் அந்தக் கோபம் அவர்கள் உள்ளத்தில் ஒரு கணம் கூட நிலைத்து நிற்காது.
நீத்தார் பெருமை  | அந்தணர் என்போர் அறவோர்மற் றெவ்வுயிர்க்கும் செந்தண்மை பூண்டொழுக லான். | அனைத்து உயிர்களிடத்திலும் அன்புகொண்டு அருள் பொழியும் சான்றோர் எவராயினும் அவர் அந்தணர் எனப்படுவார் | அனைத்து   உயிர்களிடத்திலும்  அன்புகொண்டு   அருள்  பொழியும் சான்றோர் எவராயினும் அவர் அந்தணர் எனப்படுவார்.
அறன்வலியுறுத்தல்  | சிறப்புஈனும் செல்வமும் ஈனும் அறத்தினூஉங்கு ஆக்கம் எவனோ உயிர்க்கு. | சிறப்பையும், செழிப்பையும் தரக்கூடிய அறவழி ஒன்றைத்தவிர ஆக்கமளிக்கக் கூடிய வழி வேறென்ன இருக்கிறது? | சிறப்பையும்,  செழிப்பையும்   தரக்கூடிய    அறவழி   ஒன்றைத்தவிர ஆக்கமளிக்கக் கூடிய வழி வேறென்ன இருக்கிறது?
அறன்வலியுறுத்தல்  | அறத்தினூஉங்கு ஆக்கமும் இல்லை அதனை மறத்தலின் ஊங்கில்லை கேடு. | நன்மைகளின் விளைநிலமாக இருக்கும் அறத்தைப் போல் ஒருவருடைய வாழ்க்கைக்கு ஆக்கம் தரக்கூடியது எதுவுமில்லை; அந்த அறத்தை மறப்பதை விடத் தீமையானதும் வேறில்லை | நன்மைகளின் விளைநிலமாக இருக்கும் அறத்தைப் போல் ஒருவருடைய வாழ்க்கைக்கு  ஆக்கம்  தரக்   கூடியது   எதுவுமில்லை; அந்த அறத்தை மறப்பதை விடத் தீமையானதும் வேறில்லை.
அறன்வலியுறுத்தல்  | ஒல்லும் வகையான் அறவினை ஓவாதே செல்லும்வாய் எல்லாஞ் செயல். | செய்யக்கூடிய செயல்கள் எவை ஆயினும், அவை எல்லா இடங்களிலும் தொய்வில்லாத அறவழியிலேயே செய்யப்பட வேண்டும் | செய்யக்கூடிய செயல்கள் எவை ஆயினும், அவை எல்லா இடங்களிலும் தொய்வில்லாத அறவழியிலேயே செய்யப்பட வேண்டும்.
அறன்வலியுறுத்தல்  | மனத்துக்கண் மாசிலன் ஆதல் அனைத்தறன் ஆகுல நீர பிற. | மனம் தூய்மையாக இருப்பதே அறம்; மற்றவை ஆரவாரத்தைத் தவிர வேறொன்றுமில்லை | மனம்  தூய்மையாக  இருப்பதே அறம்; மற்றவை ஆரவாரத்தைத் தவிர வேறொன்றுமில்லை.
அறன்வலியுறுத்தல்  | அழுக்காறு அவாவெகுளி இன்னாச்சொல் நான்கும் இழுக்கா இயன்றது அறம். | பொறாமை, பேராசை, பொங்கும் கோபம், புண்படுத்தும் சொல் ஆகிய இந்த நான்கும் அறவழிக்குப் பொருந்தாதவைகளாகும் | பொறாமை, பேராசை, பொங்கும் கோபம், புண்படுத்தும் சொல்  ஆகிய இந்த நான்கும் அறவழிக்குப் பொருந்தாதவைகளாகும்.
அறன்வலியுறுத்தல்  | அன்றறிவாம் என்னாது அறஞ்செய்க மற்றது பொன்றுங்கால் பொன்றாத் துணை. | பிறகு பார்த்துக்கொள்ளலாம் என்று நாள் கடத்தாமல் அறவழியை மேற்கொண்டால் அது ஒருவர் இறந்தபின் கூட அழியாப் புகழாய் நிலைத்துத் துணை நிற்கும் | பிறகு  பார்த்துக்கொள்ளலாம்   என்று  நாள்  கடத்தாமல் அறவழியை மேற்கொண்டால்   அது   ஒருவர்   இறந்தபின்  கூட  அழியாப் புகழாய் நிலைத்துத் துணை நிற்கும்.
அறன்வலியுறுத்தல்  | அறத்தாறு இதுவென வேண்டா சிவிகை பொறுத்தானோடு ஊர்ந்தான் இடை. | பயனற்றதாக ஒருநாள்கூடக் கழிந்து போகாமல், தொடர்ந்து நற்செயல்களில் ஈடுபடுபவருக்கு வாழ்க்கைப் பாதையைச் சீராக்கி அமைத்துத் தரும் கல்லாக அந்த நற்செயல்களே விளங்கும் | அறவழியில் நடப்பவர்கள்  பல்லக்கில்  உட்கார்ந்து   செல்பவர்களைப் போல வாழ்க்கையில் வரும் இன்ப துன்பங்கள் இரண்டையும்   எளியவாகக் கருதி  மகிழ்வுடன் பயணத்தை மேற்கொள்வார்கள். தீய வழிக்குத் தங்களை ஆட்படுத்திக்  கொண்டவர்களோ  பல்லக்கைத்  தூக்கிச் சுமப்பவர்களைப் போல   இன்பத்திலும்   அமைதி  கொள்ளாமல்,  துன்பத்தையும் தாங்கிக் கொள்ளும்    மனப்பக்குவமின்றி    வாழ்வையே    பெரும்  சுமையாகக் கருதுவார்கள்.
அறன்வலியுறுத்தல்  | வீழ்நாள் படாஅமை நன்றாற்றின் அஃதொருவன் வாழ்நாள் வழியடைக்கும் கல். | தூய்மையான நெஞ்சுடன் நடத்தும் அறவழி வாழ்க்கையில் வருகின்ற புகழால் ஏற்படுவதே இன்பமாகும் அதற்கு மாறான வழியில் வருவது புகழும் ஆகாது; இன்பமும் ஆகாது | பயனற்றதாக   ஒருநாள்கூடக்   கழிந்து   போகாமல், தொடர்ந்து நற்செயல்களில்  ஈடுபடுபவருக்கு    வாழ்க்கைப்   பாதையைச்    சீராக்கி அமைத்துத் தரும் கல்லாக அந்த நற்செயல்களே விளங்கும்.
அறன்வலியுறுத்தல்  | அறத்தான் வருவதே இன்பம் மற்றெல்லாம் புறத்த புகழும் இல. | அறவழியில் நடப்பவர்கள் பல்லக்கில் உட்கார்ந்து செல்பவர்களைப் போல வாழ்க்கையில் வரும் இன்ப துன்பங்கள் இரண்டையும் எளியவாகக் கருதி மகிழ்வுடன் பயணத்தை மேற்கொள்வார்கள் தீய வழிக்குத் தங்களை ஆட்படுத்திக் கொண்டவர்களோ பல்லக்கைத் தூக்கிச் சுமப்பவர்களைப் போல இன்பத்திலும் அமைதி கொள்ளாமல், துன்பத்தையும் தாங்கிக் கொள்ளும் மனப்பக்குவமின்றி வாழ்வையே பெரும் சுமையாகக் கருதுவார்கள் | தூய்மையான   நெஞ்சுடன்  நடத்தும் அறவழி வாழ்க்கையில் வருகின்ற புகழால்  ஏற்படுவதே   இன்பமாகும். அதற்கு மாறான வழியில்   வருவது புகழும் ஆகாது; இன்பமும் ஆகாது.
அறன்வலியுறுத்தல்  | செயற்பால தோரும் அறனே ஒருவற்கு உயற்பால தோரும் பழி. | பழிக்கத் தக்கவைகளைச் செய்யாமல் பாராட்டத்தக்க அறவழிச் செயல்களில் நாட்டம் கொள்வதே ஒருவர்க்குப் புகழ் சேர்க்கும் | பழிக்கத்   தக்கவைகளைச்   செய்யாமல்   பாராட்டத்தக்க   அறவழிச் செயல்களில் நாட்டம் கொள்வதே ஒருவர்க்குப் புகழ் சேர்க்கும்.
இல்வாழ்க்கை  | இல்வாழ்வான் என்பான் இயல்புடைய மூவர்க்கும் நல்லாற்றின் நின்ற துணை. | பெற்றோர், வாழ்க்கைத் துணை, குழந்தைகள் என இயற்கையாக அமைந்திடும் மூவர்க்கும் துணையாக இருப்பது இல்லறம் நடத்துவோர் கடமையாகும் | பெற்றோர், வாழ்க்கைத்   துணை,   குழந்தைகள்   என  இயற்கையாக அமைந்திடும்  மூவர்க்கும்  துணையாக   இருப்பது இல்லறம் நடத்துவோர் கடமையாகும்.
இல்வாழ்க்கை  | துறந்தார்க்கும் துவ்வாதவர்க்கும் இறந்தார்க்கும் இல்வாழ்வான் என்பான் துணை. | பற்றற்ற துறவிகட்கும், பசியால் வாடுவோர்க்கும், பாதுகாப்பற்றவர்க்கும் இல்லற வாழ்வு நடத்துவோர் துணையாக இருத்தல் வேண்டும் | பற்றற்ற துறவிகட்கும், பசியால் வாடுவோர்க்கும்,  பாதுகாப்பற்றவர்க்கும் இல்லற வாழ்வு நடத்துவோர் துணையாக இருத்தல் வேண்டும்.
இல்வாழ்க்கை  | தென்புலத்தார் தெய்வம் விருந்தொக்கல் தானென்றாங்கு ஐம்புலத்தாறு ஓம்பல் தலை. | வாழ்ந்து மறைந்தோரை நினைவுகூர்தல், வாழ்வாங்கு வாழ்வோரைப் போற்றுதல், விருந்தோம்பல், சுற்றம் பேணல் ஆகிய கடமைகளை நிறைவேற்றத் தன்னை நிலைப்படுத்திக் கொள்ளல் எனப்படும் ஐவகை அறநெறிகளும் இல்வாழ்வுக்குரியனவாம் | வாழ்ந்து  மறைந்தோரை  நினைவுகூர்தல், வாழ்வாங்கு  வாழ்வோரைப் போற்றுதல்,    விருந்தோம்பல்,   சுற்றம்  பேணல்   ஆகிய கடமைகளை நிறைவேற்றத் தன்னை    நிலைப்படுத்திக்   கொள்ளல் எனப்படும் ஐவகை அறநெறிகளும் இல்வாழ்வுக் குரியனவாம்.
இல்வாழ்க்கை  | பழியஞ்சிப் பாத்தூண் உடைத்தாயின் வாழ்க்கை வழியெஞ்சல் எஞ்ஞான்றும் இல். | பழிக்கு அஞ்சாமல் சேர்த்த பொருள் கணக்கின்றி இருப்பினும் அதைவிட, பழிக்கு அஞ்சிச் சேர்த்த பொருளைப் பகுத்து உண்ணும் பண்பிலேதான் வாழ்க்கையின் ஒழுக்கமே இருக்கிறது | பழிக்கு  அஞ்சாமல்   சேர்ந்த  பொருள்  கணக்கின்றி    இருப்பினும் அதைவிட, பழிக்கு  அஞ்சிச்   சேர்த்தபொருளைப்   பகுத்து   உண்ணும் பண்பிலேதான் வாழ்க்கையின் ஒழுக்கமே இருக்கிறது.
இல்வாழ்க்கை  | அன்பும் அறனும் உடைத்தாயின் இல்வாழ்க்கை பண்பும் பயனும் அது. | இல்வாழ்க்கை பண்புடையதாகவும் பயனுடையதாகவும் விளங்குவதற்கு அன்பான உள்ளமும் அதையொட்டிய நல்ல செயல்களும் தேவை | இல்வாழ்க்கை   பண்புடையதாகவும் பயனுடையதாகவும் விளங்குவதற்கு அன்பான உள்ளமும் அதையொட்டிய நல்ல செயல்களும் தேவை.
இல்வாழ்க்கை  | அறத்தாற்றின் இல்வாழ்க்கை ஆற்றின் புறத்தாற்றில் போஒய்ப் பெறுவ எவன். | அறநெறியில் இல்வாழ்க்கையை அமைத்துக் கொண்டவர்கள் பெற்றிடும் பயனை, வேறு நெறியில் சென்று பெற்றிட இயலுமோ? இயலாது | அறநெறியில் இல்வாழ்க்கையை அமைத்துக் கொண்டவர்கள்  பெற்றிடும் பயனை, வேறு நெறியில் சென்று பெற்றிட இயலுமோ? இயலாது.
இல்வாழ்க்கை  | இயல்பினான் இல்வாழ்க்கை வாழ்பவன் என்பான் முயல்வாருள் எல்லாம் தலை. | நல்வாழ்வுக்கான முயற்சிகளை மேற்கொள்வோரில் தலையானவராகத் திகழ்பவர், இல்வாழ்வின் இலக்கணமுணர்ந்து அதற்கேற்ப வாழ்பவர்தான் | நல்வாழ்வுக்கான   முயற்சிகளை  மேற்கொள்வோரில் தலையானவராகத் திகழ்பவர், இல்வாழ்வின் இலக்கணமுணர்ந்து அதற்கேற்ப வாழ்பவர்தான்.
இல்வாழ்க்கை  | ஆற்றின் ஒழுக்கி அறனிழுக்கா இல்வாழ்க்கை நோற்பாரின் நோன்மை உடைத்து. | தானும் அறவழியில் நடந்து, பிறரையும் அவ்வழியில் நடக்கச் செய்திடுவோரின் இல்வாழ்க்கை, துறவிகள் கடைப்பிடிக்கும் நோன்பைவிடப் பெருமையுடையதாகும் | தானும்   அறவழியில்   நடந்து, பிறரையும்    அவ்வழியில்   நடக்கச் செய்திடுவோரின் இல்வாழ்க்கை, துறவிகள் கடைப்பிடிக்கும் நோன்பைவிடப் பெருமையுடையதாகும்.
